owner_group,account,account_type,current_owner,work_status,activity_date,activity_source,buy_score,buy_read,buy_metric,buy_trust,list_score,list_read,list_metric,list_trust,sell_score,sell_read,sell_metric,sell_trust,connections_signal,usage_signal,blocker,next_question,next_action,metric_gap,source_label,source_link
Implementation,Mayesh Wholesale Florist Inc,Multilocation Core upsell / implementation queue,Valentina / Cata / Christine,Starting / scope unclear,2026-07-06,Slack #implementations-and-customer-success,,Known online/API seller but implementation scope unclear,"Do not mix API/enterprise behavior with implementation usage",Scope caveat,,Unknown implementation list,"Need branch/location/product scope for this upsell",Missing source,,Unknown implementation selling,"No 30-day implementation usage read",Missing source,Unknown,"Multilocation complexity; likely not simple implementation proof","Scope unclear",Which location/product/motion is being implemented and measured?,"Keep in queue but do not treat as simple Growth or CS lead","Need branch scope + start date + product usage metrics","Slack implementation/customer success","https://kometsales.slack.com/archives/C08LHKMLLJG"
Implementation,Abloom Floral Group,eSuite / implementation start moved,Mateo / Christine,Upcoming / moved to Aug 5,2026-07-14,Slack #koronet-new-implementation,,Unknown digital buying,"No procurement read yet",Missing source,,Unknown list,"New contract; start date moved to Aug 5",Slack sourced,,Unknown selling,"No online sales read yet",Missing source,Unknown,"Start moved; not current-week usage","Need to ensure first usage path before August",What should be prepared before Aug 5 to avoid empty setup?,"Track as future implementation row, not Friday execution unless owner asks","Need product footprint + start date confirmed + success form","Slack implementation queue","https://kometsales.slack.com/archives/C07RXDXGNSJ"
Implementation,Syrius Inc,Core / possible eSuite form mismatch,George / Christine,Starting / form mismatch,2026-07-09,Slack #koronet-new-implementation,,Unknown digital buying,"Typeform objective says increase sales and buy from farms through platform, but account/product mismatch unresolved",Slack sourced,,Unknown list,"Filled eSuite form but team thought they were Core",Slack sourced,,Unknown selling,"No online sales read yet",Missing source,Unknown,"Core vs eSuite form mismatch","Wrong form/product path could create bad setup",What product are they actually implementing and what first usage path matches it?,"Clarify product scope before scoring commercial readiness","Need product scope + go-live + first 30-day metrics","Slack implementation queue","https://kometsales.slack.com/archives/C07RXDXGNSJ"
CS,Veldkamp's / Bellcamps,CS strategy / procurement opportunity,Cata / Santi,Worked / reviewed with CS,2026-07-10,Fathom scan, ,Procurement opportunity,"Bellcamps procurement opportunity reported $11-20K/mo; exact digital purchase read missing",Directional,,Supply-first ICP signal,"Ideal client = wholesaler willing to upload full inventory including bunches",Fathom sourced,,Unknown selling,"No account-specific online sales read in local source",Missing source,Unknown,"Future availability / buying better / eShop adoption tactics","Need account-specific data before action",Which accounts are buying enough and which need supply/list readiness before marketing?,"Use as CS play design example; ask Cata what targets are real","Need procurement gap analysis + Mayesh/Komet comparison","Fathom wholesaler scan","/tx-dashboards/tx-strategy-v2/source-cs-impl.html#veldkamp"
CS,We Got Flowers,CS/commercial blocker + implementation,George / Craig / Cata,Worked / commercial blocker,2026-07-12,Pablito tracker + offline dashboard,,Known digital ramp but BUY blocker unresolved,"Offline dashboard shows WE GOT FLOWERS $0 -> $2.93M new ramp; procurement/surcharge details unresolved",Needs validation,,Unknown list,"No current list/supply coverage read",Blocked source,3,Online selling signal,"New online ramp signal exists, but current sales/usage needs Rose verification",Needs validation,42+ K2K connections signal in board,"Pricing/surcharge/bundle/payment incentive blocker","Pricing and trust may block more online buying/listing",Is blocker pricing, surcharge setup, product usage, or supply?,"Use as BUY blocker learning; not Growth until metrics verified","Need current procurement, online sales, connections, repeat buyers","Pablito tracker + offline dashboard","/tx-dashboards/tx-strategy-v2/source-cs-impl.html#wgf"
CS,FCS quick wins: New England / ANIC / First Choice / Oklahoma Flower Market,CS lead pool,Cata / Mateo,Worked / pipeline shared,2026-07-12,Pablito tracker,,Unknown digital buying,"19 FCS accounts ranked in tiers; account-level metrics missing",Missing source,,Unknown list,"No supply read yet",Missing source,,Unknown selling,"No online sales read yet",Missing source,Unknown,"Lead pool not yet account-scored","Need to turn lead pool into account rows",Which quick wins have active buyer/supplier motion and near-term call?,"Cata/CS validate first accounts to score","Need account-level connection, procurement, online sales, supply","Pablito tracker","/tx-dashboards/tx-strategy-v2/target-account-board.html"
CS,Northwest,CS/FCS stalled account,Cata / Rob,Worked / stalled context,2026-07-12,Pablito tracker,,Unknown digital buying,"No procurement read yet",Missing source,,Unknown list,"No supply read yet",Missing source,,Unknown selling,"No online sales read yet",Missing source,Unknown,"Relationship recovery may precede TX motion","May not be a live TX opportunity",Is this active TX execution or relationship recovery only?,"Validate before adding to weekly target accounts","Need owner/current status from CS","Pablito tracker","/tx-dashboards/tx-strategy-v2/target-account-board.html"
CS,Ensign Wholesale Flower Market <> Coquette Roses,Easy Handshake pair,Cata / CS,New connection watchlist,2026-07-09,Easy Handshake digest,,Unknown digital buying,"Connection approved; no first transaction yet",High directional,,N/A supply,"Pair-level row; supplier supply not yet analyzed",Not applicable,,No transaction yet,"No first order detected in local source",Missing source,Approved connection #18802,"Recent approved connection","Need fast follow-up after accepted connection",What follow-up turns accepted connection into first transaction?,"Add to recent connection watchlist and track first/second order","Need connection->first order->repeat from Rose","Easy Handshake channel digest","/tx-dashboards/connections.html"
CS,Cleveland Plant & Flower,eShop / eCommerce seller,Valentina / Christian,Worked / eShop start question,2026-06-03,Slack + Wholesaler metrics,,Unknown digital buying,"Procurement metric not in dashboard extract",Missing source,,Unknown list,"eShop start question in Slack; list coverage not extracted",Missing source,5,Digital seller,"$493.5K eCom GMV; 61 eCom customers; appears 100% eCom in profile query",Source-backed local,Unknown,"eShop implementation/start context","Could be proof/account, but not current CS ask yet",Is this a model, a current implementation, or just a completed eShop?,"Classify before Friday; do not add as target without owner ask","Need current status, product footprint, buyer repeat","Slack + Wholesaler metrics v2","/tx-dashboards/tx-strategy-v2/source-cs-impl.html#cleveland"
CS,Flora Fresh Wholesale,CS handover / growth opportunity,Cata / Valentina / Milena,Worked / 90-day handover,2026-05-07,Slack + offline dashboard,,Unknown digital buying,"Opportunity to grow procurement usage; exact procurement read missing",Missing source,,Unknown list,"Has all tools / sell-side opportunity in local read",Directional,3,Online ramp signal,"Offline dashboard shows Flora Fresh $0 -> $5.55M new online context; Slack says $20M annual and 58% KPayments",Needs validation,Unknown,"eCommerce and procurement usage opportunity","Need to know why usage is low or high by product",Is Flora Fresh a usage/growth case or support case?,"Add to CS/Implementation review if current owner wants TX help","Need fresh eCom/procurement/product usage and calls","Slack + offline dashboard","/tx-dashboards/tx-strategy-v2/source-cs-impl.html#florafresh"
Strategic / CS,Bill Doran Company,Strategic account / Cata working BD,Cata + Facu,Worked / strategic confirmed,2026-07-15,Facu decision + wholesaler metrics,2,Low Procurement module capture,"$1.63M Procurement channel but $45.97M total procurement; 3.5% Proc capture",Source-backed local,4,Strong Units benchmark,"$1.07M Units online; nearly 50/50 boxes/units online",Source-backed local,2,Low eCom share at scale,"$2.14M eCom / $60.5M total = 3.5%; 298 eCom customers; 6,887 standing orders",Source-backed local,Unknown,"Strategic full-stack; do not fragment","Large account with low online share but strong units benchmark","What is Cata's current plan and next customer conversation?,"Keep as One Client One Plan; Cata validates status","Need current Cata status + July metrics + branch context","Wholesaler metrics v2 + Facu confirmation","/tx-dashboards/tx-strategy-v2/source-cs-impl.html#bdc"
Strategic / CS,Kennicott Brothers Company,Strategic account,Cata + Facu,Worked historically / branch-level needed,2026-07-15,Maturity + wholesaler metrics,2,Dabbling at scale,"18.4% procurement capture in maturity matrix; $4.28M Procurement channel in H1 metrics",Source-backed local,3,Partial list,"4,356 of 9,890 products online; 44% catalog coverage; Units are 89.2% offline business but 9.7% of eCom",Source-backed local,2,Trace eCom at scale,"$6.32M eCom / $64.0M total = 9.9%; 1,651 eCom customers; 7,070 standing orders",Source-backed local,450+ K2K connections,"Strong product footprint but Units gap","Branch-level bottleneck, not one generic lead",Which branch/customer conversation comes first?,"Keep as strategic account; score branch-level buy/list/sell","Need branch-level July metrics + supply + owner plan","Maturity matrix + Wholesaler metrics v2","/tx-dashboards/tx-strategy-v2/source-cs-impl.html#kbc"
Strategic / CS,Dreisbach,Strategic account,Cata + Facu,Worked / growth plan calls,2026-07-07,Fathom + maturity matrix,2,Dabbling / tracked procurement tiny,"$18.8K K2K Procurement of $33.5K tracked, but tracked procurement is <1% of revenue",Source-backed local,2,Minimal list,"100% boxes online; zero Units/bunches; eShop active but thin",Source-backed local,1,Near-zero digital selling,"$25.6K total eCommerce ever; ~0.26% of $10M revenue base",Source-backed local,85+ K2K connections,"FedEx box program; website/SEO; not bunch play","Operational constraint: no live inventory; not ready for bunches",What data/workflow blocks the WV/Louisville plan?,"Keep as strategic account; do not force generic bunch play","Need WV/Louisville data + next conversation + July metrics","Fathom scan + maturity matrix","/tx-dashboards/tx-strategy-v2/source-cs-impl.html#dreisbach"
