prefill_id,source,surface,initiative,account,decision_or_question,why_monday,recommendation_or_next_action,owner,due_date,evidence_or_link,trust_label,status
FCO-016,friday_readback_seed,Friday queue,BUY,Lead B queue,Approve first 10 pairs or reject selection logic.,Friday carryover requiring leadership visibility or re-route.,Create first weekly BUY queue with blocker taxonomy.,Mercury,2026-07-16,TXL-2026-07-15-004,Pending Friday readback,Pending Friday review
FCO-017,friday_readback_seed,Friday queue,LIST,Lead F candidates,Select first supply readiness pilot account.,Friday carryover requiring leadership visibility or re-route.,"Build LIST pilot row: top 5 products, owner, pass/fail metric.",Mercury,2026-07-16,TXL-2026-07-15-005,Pending Friday readback,Pending Friday review
FCO-018,friday_readback_seed,GROW / Black Belt operator view,GROW,GROW / Black Belt candidates,Approve operator table format and first accounts.,Friday carryover requiring leadership visibility or re-route.,Add account/cohort/play/message/metric/expected learning table.,Mercury,2026-07-16,TXL-2026-07-15-006,Pending Friday readback,Pending Friday review
FCO-019,friday_readback_seed,account plan / Friday pack,Strategic,Dreisbach,Confirm delivery path and owner.,Friday carryover requiring leadership visibility or re-route.,Deliver curated vendor list or explicitly re-date/block it.,Facu,2026-07-17,TXL-2026-07-15-011,Pending Friday readback,Pending Friday review
FCO-020,friday_readback_seed,dashboard gap / account plan,Strategic,Dreisbach,Determine source of WV/Louisville data or mark unavailable.,Friday carryover requiring leadership visibility or re-route.,Return verified data read or blocker.,Facu/Rose,2026-07-17,TXL-2026-07-15-012,Pending Friday readback,Pending Friday review
FCO-021,friday_readback_seed,Friday pack / account plan,Strategic,Dreisbach,Confirm whether Christine/Facu should reopen alignment.,Friday carryover requiring leadership visibility or re-route.,Schedule or park implementation alignment.,Christine/Facu,2026-07-17,TXL-2026-07-15-013,Pending Friday readback,Pending Friday review
FCO-022,friday_readback_seed,dashboard gap,Strategic,Dreisbach,Confirm billing gap scope and whether it affects current read.,Friday carryover requiring leadership visibility or re-route.,Return verified eCom fee billing read.,Rose/Codex,2026-07-17,TXL-2026-07-15-014,Pending Friday readback,Pending Friday review
FCO-023,friday_readback_seed,Friday pack,SELL,Veldkamps,Confirm owner and implementation timeline.,Friday carryover requiring leadership visibility or re-route.,"Get timeline, open questions, and next action from Santiago.",Santiago,2026-07-17,TXL-2026-07-15-015,Pending Friday readback,Pending Friday review
FCO-024,friday_readback_seed,account plan,Strategic,Bill Doran,Review first Bill Doran account-plan draft.,Friday carryover requiring leadership visibility or re-route.,"Build profile, actions, plays, and next conversation.",Mercury,2026-07-22,TXL-2026-07-15-016,Pending Friday readback,Pending Friday review
FCO-025,friday_readback_seed,Friday pack / hub,SELL,PMT queue,Confirm queue source and Christine collaboration model.,Friday carryover requiring leadership visibility or re-route.,"Create PMT queue with account, stage, readiness gap, usage path, milestone.",Christine/Pablito/Mercury,2026-07-22,TXL-2026-07-15-017,Pending Friday readback,Pending Friday review
FCO-026,friday_readback_seed,ledger / hub,System,,Confirm ledger seed should become source of truth.,Friday carryover requiring leadership visibility or re-route.,"Publish ledger seed and views for Friday, Facu approval, value prop, dashboard gaps, workflow compliance.",Codex/Pablito,2026-07-17,TXL-2026-07-15-020,Pending Friday readback,Pending Friday review
