ledger_id,created_at,source_type,source_link,read_safe_summary,initiative,conversation_expected,expected_outcome,expected_learning,kpi_or_leading_indicator,objection_or_blocker,before_friday_owner_task,account,hypothesis,workflow,owner_lane,value_prop_required,value_prop_link,evidence_link,trust_label,approval_state,decision_needed,next_action,next_action_owner,due_date,friday_visible,monday_visible,downstream_artifact,status,last_updated_at
TXL-2026-07-15-011,2026-07-15,pablito_seed,ops/tx_enablement_v2_pablito_2026-07-15.md,Deliver Dreisbach curated vendor list to Angela; list is reported ready and overdue.,Strategic,,,,,,,Dreisbach,H2/H3 full-stack,overdue_actions_triage,Pablito,yes,value-prop.html,,Needs owner validation,Needs Facu,Confirm delivery path and owner.,Deliver curated vendor list or explicitly re-date/block it.,Facu,2026-07-17,yes,yes,account plan / Friday pack,New,2026-07-15
TXL-2026-07-15-012,2026-07-15,pablito_seed,ops/tx_enablement_v2_pablito_2026-07-15.md,Resolve Dreisbach WV + Louisville client data dependency; WV is blocked because it is not in Snowflake.,Strategic,,,,,,,Dreisbach,H2/H3 full-stack,live_dashboard_build,Rose,no,,,Pending reconciliation,Needs owner,Determine source of WV/Louisville data or mark unavailable.,Return verified data read or blocker.,Facu/Rose,2026-07-17,yes,yes,dashboard gap / account plan,New,2026-07-15
TXL-2026-07-15-013,2026-07-15,pablito_seed,ops/tx_enablement_v2_pablito_2026-07-15.md,Re-open Dreisbach implementation alignment with Camila + Sebastian; action overdue from 2026-07-07.,Strategic,,,,,,,Dreisbach,H2/H3 full-stack,overdue_actions_triage,Pablito,yes,value-prop.html,,Needs owner validation,Needs owner,Confirm whether Christine/Facu should reopen alignment.,Schedule or park implementation alignment.,Christine/Facu,2026-07-17,yes,yes,Friday pack / account plan,New,2026-07-15
TXL-2026-07-15-014,2026-07-15,pablito_seed,ops/tx_enablement_v2_pablito_2026-07-15.md,Investigate Dreisbach eCom fee billing gap and return verified read or blocker.,Strategic,,,,,,,Dreisbach,H3 Monetize,live_dashboard_build,Rose,no,,,Pending reconciliation,Needs owner,Confirm billing gap scope and whether it affects current read.,Return verified eCom fee billing read.,Rose/Codex,2026-07-17,yes,no,dashboard gap,New,2026-07-15
TXL-2026-07-15-015,2026-07-15,pablito_seed,ops/tx_enablement_v2_pablito_2026-07-15.md,Resolve Veldkamps eSuite timeline and answer Facu open questions before SFDC close risk compounds.,SELL,,,,,,,Veldkamps,H2 SELL,stakeholder_enablement,Pablito,yes,value-prop.html,,Needs owner validation,Needs owner,Confirm owner and implementation timeline.,"Get timeline, open questions, and next action from Santiago.",Santiago,2026-07-17,yes,yes,Friday pack,New,2026-07-15
TXL-2026-07-15-016,2026-07-15,pablito_seed,ops/tx_enablement_v2_pablito_2026-07-15.md,Create Bill Doran strategic account profile/actions/plays from existing data; current strategic account has only data.md.,Strategic,,,,,,,Bill Doran,H2/H3 full-stack,play_design,Mercury,yes,value-prop.html,,Directional,Proposed,Review first Bill Doran account-plan draft.,"Build profile, actions, plays, and next conversation.",Mercury,2026-07-22,yes,yes,account plan,New,2026-07-15
TXL-2026-07-15-017,2026-07-15,pablito_seed,ops/tx_enablement_v2_pablito_2026-07-15.md,Build SELL Commercial Readiness / PMT queue; dashboard marks this as weakest artifact and missing.,SELL,,,,,,,PMT queue,H2 SELL,stakeholder_enablement,Pablito,yes,value-prop.html,,Needs owner validation,Needs owner,Confirm queue source and Christine collaboration model.,"Create PMT queue with account, stage, readiness gap, usage path, milestone.",Christine/Pablito/Mercury,2026-07-22,yes,yes,Friday pack / hub,New,2026-07-15
TXL-2026-07-15-018,2026-07-15,pablito_seed,ops/tx_enablement_v2_pablito_2026-07-15.md,Propagate K2K fee correction into canonical learnings and clean conflicting Pablito memory references.,System,,,,,,,K2K,Canonical learning,canonical_reconciliation,Nahua,no,,ops/system_audit_2026-07-14.md,Pending reconciliation,Needs Facu,Approve canonical correction priority.,Patch canonical learnings or create CR; clean stale memory references.,Nahua/Codex/Pablito,2026-07-18,no,yes,CR / canonical,New,2026-07-15
TXL-2026-07-15-019,2026-07-15,pablito_seed,ops/tx_enablement_v2_pablito_2026-07-15.md,Fix hypothesis model conflict across canonical files and legacy memory references; H1-H3 vs H1-H4 blocks correctness.,System,,,,,,,,Canonical consistency,canonical_reconciliation,Nahua,no,,ops/system_audit_2026-07-14.md,Pending reconciliation,Needs Facu,Approve reconciliation path.,Create canonical conflict patch queue.,Nahua/Codex,2026-07-18,no,yes,CR / canonical,New,2026-07-15
TXL-2026-07-15-020,2026-07-15,pablito_seed,ops/tx_enablement_v2_pablito_2026-07-15.md,Create/publish first TX Execution Ledger file/table and seed required views.,System,,,,,,,,Ledger,tx_execution_ledger_update,Pablito,no,,ops/tx_execution_ledger_v2_schema_2026-07-15.md,Verified,Proposed,Confirm ledger seed should become source of truth.,"Publish ledger seed and views for Friday, Facu approval, value prop, dashboard gaps, workflow compliance.",Codex/Pablito,2026-07-17,yes,yes,ledger / hub,In progress,2026-07-15
