group,lane,owner,unit,account,target_status,worked_status,metric_status,leading_status,learning_status,next_question,next_action,help_needed,trust,source,source_link
CS,BUY / LIST,Cata / CS,Account,Veldkamp's / Bellcamps,CS touched / strategy discussion,Worked / Cata + Santi call,Metric needs account-specific data; Bellcamps procurement signal noted,Future Availability / buying better / eShop adoption tactics discussed,Need to learn how buyer-side value and list quality change behavior,Which accounts are buying enough and which need supply/list readiness before marketing?,Use as CS play design example; do not generalize without account rows,Procurement gap analysis + Mayesh/Komet comparison,Directional,Fathom digest,/tx-dashboards/tx-strategy-v2/suggested-leads.html
CS,BUY,Cata / CS,Account,We Got Flowers,CS/commercial touched / blocker case,Worked / Craig-Mateo-Felipe thread,Metrics show procurement and offline gap in local run,42+ K2K connections; pricing/surcharge/bundle blocker signal,Need to learn why online buying/listing is not happening despite product value,Is the blocker pricing trust, surcharge setup, product usage, or supply list?,Use as BUY blocker learning; not Growth candidate,Procurement cost accuracy + first repeat online buyer,Medium / local data + Slack,Channel digest + Black Belt run,/tx-dashboards/tx-strategy-v2/suggested-leads.html
CS,BUY,Cata / CS,Connection / account,FCS quick wins: New England / ANIC / First Choice / Oklahoma Flower Market,CS/contacted lead pool,Worked by Mateo / pipeline shared,Metric pending account-level pull,19 FCS accounts ranked in 4 tiers; quick wins named,Need to learn which quick wins have real buying/listing intent,Which of these have active buyer/supplier motion and near-term call?,Add to CS target account validation list,Account-level connection / procurement / online sales pull,Directional,Channel digest,/tx-dashboards/tx-strategy-v2/suggested-leads.html
CS,BUY,Cata / CS,Account,Northwest,CS/contacted lead pool,Worked / stalled FCS context,Metric pending account-level pull,Stalled; regaining control over FCS; Rob managing relationship,Need to learn whether relationship or product/usage blocks progress,Is this a live TX opportunity or relationship recovery only?,Validate before adding to weekly target accounts,Owner/current status from CS,Directional,Channel digest,/tx-dashboards/tx-strategy-v2/suggested-leads.html
CS,BUY / Commercial Readiness,Cata / Christine,Implementation account,Springfield Florist Supply,Upcoming implementation / CS signal,Monitor / implementation starts Jul 20,Metric pending after start,Hard Goods module; $550K/mo sales; 81% CC from digest,Need to learn first buying/listing/selling path post-implementation,Can this become an early commercial readiness example?,Add to implementation/CS watchlist for first 30 days,Go-live + product usage + transaction read,Directional,Channel digest,/tx-dashboards/tx-strategy-v2/friday-prefill.html
CS,BUY,Cata / CS,Buyer-supplier pair,Ensign Wholesale Flower Market <> Coquette Roses,Easy Handshake recent connection,New / Jul 9 connection,No transaction movement yet,Connection #18802 approved by Coquette,Need to learn if recent EH connections convert faster than old ones,What follow-up turns this approved connection into first transaction?,Add to recent connection watchlist,Connection status + first order tracking,High directional,Easy Handshake channel digest,/tx-dashboards/connections.html
GROW,Growth Program,Facu,Account,Zeidler Floral,Core growth candidate,Not yet approved in Q3 board,17.4% online share; 35 online buyers from candidate run,Strong best-in-class proof point; supply quality still proxy,Need to learn what can be refined/amplified and what is transferable,Approve as first measured play or keep as study?,Review with account owner; define cohort/message/metric,Champion + L90D repeat + traffic/funnel pull,Medium-high / local data,Black Belt candidate run,/tx-dashboards/tx-strategy-v2/black-belt-operator.html
GROW,Growth Program,Facu,Account,Maple Grove Floral,Core growth candidate pending verification,Not yet worked in Q3 board,30.3% online share; 56/91 online buyers from candidate run,Strong online buyer signal; operational simplicity/champion unknown,Need to learn whether high online share is repeatable playbook,Is this a real core candidate or data-only candidate?,Verify location/champion before execution,Location/champion + repeat buyer pull,Medium / local data,Black Belt candidate run,/tx-dashboards/tx-strategy-v2/black-belt-operator.html
GROW,Growth Program,Facu,Account,Floristcentric LLC,Core growth/refine candidate pending verification,Christian scheduling context; not worked in Q3 board,7.2% online share; 38 online buyers; 124 online categories from candidate run,Broad supply and offline upside but willingness unknown,Need to learn if this is ready for refine or still diagnosis,What is current owner/champion and next conversation?,Confirm Christian 1:1 and account context,Champion + branch/account current status,Medium / local data + DM context,Black Belt candidate run,/tx-dashboards/tx-strategy-v2/black-belt-operator.html
GROW,Growth Program,Facu,Account,Metropetals,Core refine candidate pending verification,Not yet worked in Q3 board,8.6% online share; 15/50 online buyers from candidate run,Manageable buyer base; unknown champion and funnel,Need to learn if repeat buyer motion exists,Does current online base repeat and can we amplify it?,Park until willingness/owner verified,L90D repeat + owner source,Medium-low / local data,Black Belt candidate run,/tx-dashboards/tx-strategy-v2/black-belt-operator.html
Strategic,One Client One Plan,Cata + Facu,Strategic account,Dreisbach,Confirmed strategic diagnostic account,Worked historically / Black Belt deep dive exists,Visible eCom weak; WV branch data missing,SEO/FedEx/supply learning; multi-location exception,Need to learn what data/workflow blocks the account plan,What is the next conversation and what metric proves movement?,Keep full-stack plan; do not fragment into separate initiative asks,WV data + branch mapping + call learnings,Medium / account file,Account plan,/tx-dashboards/tx-strategy-v2/account-plans.html
Strategic,One Client One Plan,Cata + Facu,Strategic account,Kennicott,Confirmed strategic account,Not a simple core lead,Large online and procurement base; branch-level gap pending,Multi-location strategic exception; units/list opportunity likely branch-specific,Need to learn where branch-level buy/list/sell bottleneck is,Which branch/customer conversation comes first?,Keep as strategic plan not CS generic lead,Branch-level supply/online/offline pull,Medium / candidate run,Black Belt candidate run,/tx-dashboards/tx-strategy-v2/account-plans.html
Strategic,One Client One Plan,Cata + Facu,Strategic account,Bill Doran Company,Confirmed strategic account,Cata working BD,Large procurement/eCommerce base; online share low in candidate run,Multi-location strategic exception; one full-stack plan needed,Need current status from Cata before showing as execution row,What is Cata's current BD account plan and next customer conversation?,Owner validation required before Friday status,Current account facts + next action from Cata,Directional / needs owner,Facu confirmation + candidate run,/tx-dashboards/tx-strategy-v2/account-plans.html
Product,Product Enabler,Maga,Product blocker / feature,Future Availability / in-transit / bunch uploads,Enabler tied to BUY/LIST,Not an account row until blocker attached,Metric depends on feature usage by account,Feature utilization is the key leading indicator,Need to learn whether current features solve real account blockers,Which accounts are blocked by missing/unused future availability or bunch uploads?,Only bring to Friday if attached to account + pilot + KPI,Feature usage pull by account,Directional,Strategy feedback,/tx-dashboards/tx-strategy-v2/list-supply-readiness.html
