company_id,company_name,account_class,business_type,product_tier,potential_tier,gmv_reference,gmv_source,ann_sell_2026,sell_months,penetration_pct,suspect_estimate,needs_review,notes
672205,Del Tropico/ Ameriblooms,Client,Importer,Core+,Flagship,11423848,Medido,11423848,7,~100% (tautological),False,,
601933,Flora Fresh Inc,Client,Wholesaler,Core+,Flagship,11285039.0,Medido,10131739,7,~100% (tautological),False,,
498842,SUNRITE FARMS COLLECTIONS CORP,Client,Importer,Core+,Flagship,10706019.67,Medido,10859595,7,~100% (tautological),False,,
,Joseph & Sons Inc.,Prospect,Wholesaler,Unknown,Growth Engine,10700000.0,Medido,0,0,,False,,
453771,Continental Floral CA LLC,Client,Importer,Core+,Flagship,10603530.56,Medido,8834856,7,~100% (tautological),False,,
17789,Bella Blossom LLC,Client,Importer,Core+,Flagship,10350175,Medido,10350175,7,~100% (tautological),False,,
470794,* AquaRose,Prospect,Importer,Core+,Growth Engine,10000000,Estimado,5653,5,0.1,False,,
733807,Metropolitan Wholesale/Cityside Flowers,Client,Wholesaler,eSuite,Growth Engine,10000000,Estimado,264446,7,2.6,True,Estimado >20x reality,
655382,Staalduinen Floral-LTF1118,Client,Wholesaler,eSuite,Growth Engine,10000000,Estimado,338698,7,3.4,True,Estimado >20x reality,
665261,Tradewinds / Pristine Wholesale Floral,Client,Wholesaler,eSuite,Growth Engine,10000000,Estimado,355196,6,3.6,True,Estimado >20x reality,
664648,Tradewinds/ KING FLORAL SUPPLY,Client,Wholesaler,eSuite,Growth Engine,10000000,Estimado,340632,7,3.4,True,Estimado >20x reality,
670675,VELDKAMP´S FLOWERS,Client,Grower,eSuite,Growth Engine,10000000,Estimado,158823,7,1.6,True,Estimado >20x reality,
755509,Vimass Flora S.L.,Pre-live,Importer,eSuite,Growth Engine,10000000,Estimado,0,0,,False,,
,Phyto Flowers B.V.,Prospect,Wholesaler,Unknown,Growth Engine,10000000,Estimado,0,0,,False,,
,SQ Flora,Prospect,Wholesaler,Unknown,Growth Engine,10000000,Estimado,0,0,,False,,
,FM Group B.V./SPA,Prospect,Wholesaler,Unknown,Growth Engine,10000000,Estimado,0,0,,False,,
,blooms2go,Prospect,Importer,Unknown,Growth Engine,10000000,Estimado,0,0,,False,,
,San Francisco Gardens (L1),Prospect,Wholesaler,Unknown,Growth Engine,10000000,Estimado,0,0,,False,,
,Flower Board - The Financial Company,Pre-live,Wholesaler,Unknown,Growth Engine,10000000,Estimado,0,0,,False,,
,Royal Flowers GmbH,Pre-live,Importer,Unknown,Growth Engine,10000000,Estimado,0,0,,False,,
,Ocean Breeze International,Prospect,Wholesaler,Unknown,Growth Engine,10000000.0,Medido,0,0,,False,,
,Bluumii/SoCal Flowers,Prospect,Wholesaler,Unknown,Growth Engine,10000000,Estimado,0,0,,False,,
,Green Valley Floral,Prospect,Wholesaler,Unknown,Growth Engine,10000000,Estimado,0,0,,False,,
,Alaska Wholesale / Mylords Floral,Pre-live,Wholesaler,Unknown,Growth Engine,10000000,Estimado,0,0,,False,,
732448,"Nazcaflor USA, Inc",Client,Importer,Core+,Growth Engine,9895045,Medido,9895045,7,~100% (tautological),False,,
1241,Farm To Canada,Client,Importer,Core+,Growth Engine,9294613,Medido,9294613,7,~100% (tautological),False,,
508421,Gardens America Inc.,Client,Importer,Core+,Growth Engine,9140076.02,Medido,9467812,7,~100% (tautological),False,,
44225,"Pinnacle Flowers, LLC",Client,Importer,Core+,Growth Engine,9000808,Medido,9000808,7,~100% (tautological),False,,
153031,FloraLink,Client,Importer,Core+,Growth Engine,9000000,Estimado,7459571,7,82.9,False,,
,First Choice Wholesale Floral,Prospect,Wholesaler,Unknown,Activate,9000000.0,Medido,0,0,,False,,
813857,Expo Flora S.A.,Client,Grower,K2K,Activate,8807144.17,Medido,3475080,3,~100% (tautological),False,"Auto-promoted from Prospect (SFDC Prospect, Other ERP: Excel)",
200503,Stellar Farms,Client,Importer,Core+,Growth Engine,8664078.16,Medido,9057448,7,~100% (tautological),False,,
529464,"Direct Farms, LLC",Client,Importer,Core+,Growth Engine,8158210,Medido,8158210,7,~100% (tautological),False,,
7631,A Trilogy Floral - Zamba Flowers,Client,Importer,Core+,Growth Engine,8154542.11,Medido,8172170,7,~100% (tautological),False,,
498865,H&T Wholesale Flowers,Client,Wholesaler,Core+,Growth Engine,8142577,Medido,8142577,7,~100% (tautological),False,,
,Sieck-Buffalo,Prospect,Wholesaler,Unknown,Activate,8100000.0,Medido,0,0,,False,,
600370,GOMEZ B.V.,Client,Importer,Core+,Growth Engine,8020424,Piso de red,8020424,7,~100% (tautological),False,,
670423,FLEURIGROS QUEBEC 1995 INC.,Prospect,Wholesaler,Unknown,Activate,8000000,Estimado,2448,1,0.0,False,,
561518,"Floramix, Inc.",Prospect,Importer,Core+,Growth Engine,8000000,Estimado,1124462,5,14.1,False,Auto-promoted from Prospect (Deactivated),
642076,Full Pot - Ft. Lauderdale,Client,Wholesaler,Procurement,Activate,8000000,Estimado,0,0,,False,,
484037,Georgia State Floral Distributors,Client,Wholesaler,K2K,Activate,8000000.0,Estimado,528799,4,6.6,False,,
664341,Hall´s Wholesale Florist Theodore,Prospect,Wholesaler,eSuite,Growth Engine,8000000,Estimado,1633,3,0.0,False,,
469713,KD & Company,Prospect,Wholesaler,K2K,Activate,8000000,Estimado,10624,3,0.1,False,,
541415,Len Busch Roses,Client,Wholesaler,K2K,Activate,8000000.0,Estimado,136261,7,1.7,True,Estimado >20x reality,
664255,"Mikes Finest Wholesale Flowers, Inc.",Prospect,Wholesaler,eSuite,Growth Engine,8000000,Estimado,1344,4,0.0,False,,
654661,POTOMAC WHSLE,Prospect,Wholesaler,eSuite,Growth Engine,8000000,Estimado,73376,6,0.9,True,Estimado >20x reality,
400013,"Washington Floral Service, Inc",Client,Wholesaler,K2K,Activate,8000000.0,Estimado,134575,7,1.7,True,Estimado >20x reality,
33023,Prime Petals LLC,Client,Importer,Core+,Growth Engine,7972541,Medido,7972541,7,~100% (tautological),False,,
,Palm Beach Wholesale,Prospect,Wholesaler,Unknown,Activate,7600000.0,Medido,0,0,,False,,
640977,Ninfa Flowers,Client,Wholesaler,Core+,Growth Engine,7315549,Medido,7315549,7,~100% (tautological),False,,
808079,JFS Wholesale Floral,Client,Wholesaler,Core+,Growth Engine,7108491,Medido,7108491,4,~100% (tautological),False,Auto-promoted from Prospect (Other ERP: SMART System),
675361,Fleurametz USA NYC,Client,Wholesaler,K2K,Activate,7000000.0,Estimado,134662,7,1.9,True,Estimado >20x reality,
670508,Hartford Florist Supply,Client,Wholesaler,Procurement,Activate,7000000,Estimado,0,0,,False,,
652551,LD Trading/ Lawrence Developments Inc.,Client,Wholesaler,eSuite,Growth Engine,7000000,Estimado,330655,7,4.7,True,Estimado >20x reality,
651574,M&M CUT FLORA,Client,Wholesaler,eSuite,Growth Engine,7000000,Estimado,481468,7,6.9,False,,
476679,Taylor Wholesale Florist,Client,Wholesaler,K2K,Activate,7000000.0,Estimado,19021,6,0.3,False,,
395382,Naranjo Farms LLC,Client,Grower,Core+,Growth Engine,6736666,Medido,6736666,7,~100% (tautological),False,,
471458,Continental Floral OR LLC,Client,Grower,Core+,Growth Engine,6620172.78,Medido,5803514,6,~100% (tautological),False,,
146846,Continental Flowers,Client,Importer,eSuite,Growth Engine,6615309.25,Medido,6938959,7,~100% (tautological),False,Tier inferred from sell channel (not from system_type),
577566,FLEUPHORIA S.A.S,Client,Importer,Core+,Growth Engine,6587408.82,Medido,6902213,7,~100% (tautological),False,,
398856,National Floral Supply,Client,Wholesaler,Core+,Growth Engine,6503503,Medido,6503503,3,~100% (tautological),False,,
537092,Tropical Blooms Inc.,Client,Wholesaler,Core+,Growth Engine,6499856,Medido,6499856,7,~100% (tautological),False,,
,Mears Floral Products,Prospect,Wholesaler,Unknown,Activate,6200000.0,Medido,0,0,,False,,
20769,AmeriLink Floratrader,Client,Importer,Core+,Growth Engine,6070187,Medido,6070187,7,~100% (tautological),False,,
295299,"American Floral Cargo/Splendor Proteas, LLC",Prospect,Importer,Unknown,Activate,6000000,Estimado,0,0,,False,,
664540,"FMI, LLC.-FL",Prospect,Wholesaler,eSuite,Growth Engine,6000000,Estimado,36424,2,0.6,False,,
700340,FleuraMetz LA,Client,Importer,K2K,Activate,6000000.0,Estimado,24631,3,0.4,False,,
654566,Gassafy Wholesale Florist Inc,Client,Wholesaler,eSuite,Growth Engine,6000000,Estimado,99770,7,1.7,True,Estimado >20x reality,
652199,JOHNSENS WHOLESALE FLORIST,Client,Wholesaler,eSuite,Growth Engine,6000000,Estimado,257480,7,4.3,True,Estimado >20x reality,
586784,Louisiana Wholesale Florist,Client,Wholesaler,K2K,Activate,6000000.0,Estimado,90565,7,1.5,True,Estimado >20x reality,
731558,"MRS. BLOOM’S DIRECT, INC.",Client,Wholesaler,eSuite,Growth Engine,6000000,Estimado,64710,7,1.1,True,Estimado >20x reality,
651513,"PETALS WEST, INC.",Client,Wholesaler,eSuite,Growth Engine,6000000.0,Estimado,210372,6,3.5,True,Estimado >20x reality,
734521,Promoflor SRL,Prospect,Wholesaler,Core+,Growth Engine,6000000,Estimado,0,0,,False,,
554905,"Quinlan-Wasserman, Inc",Client,Wholesaler,K2K,Activate,6000000.0,Estimado,45812,7,0.8,True,Estimado >20x reality,
672799,Rokay Floral,Client,Wholesaler,K2K,Activate,6000000.0,Estimado,177336,7,3.0,True,Estimado >20x reality,
327132,Royal Flower Import Group Inc.,Client,Wholesaler,Core+,Growth Engine,6000000,Estimado,1210953,7,20.2,False,,
193829,Muchflowers Inc.,Client,Importer,Core+,Growth Engine,5937344,Medido,5937344,7,~100% (tautological),False,,
672728,Ecuador's Origin Product,Client,Importer,Core+,Growth Engine,5901665,Medido,5901665,7,~100% (tautological),False,,
649745,Miraflor LLC,Client,Importer,Core+,Growth Engine,5770808,Medido,5770808,7,~100% (tautological),False,,
394783,Metro Flower Market LLC,Client,Wholesaler,Core+,Growth Engine,5631353.36,Medido,5853276,7,~100% (tautological),False,,
189002,Royal Flowers S.A,Client,Grower,Core+,Growth Engine,5623187.65,Medido,5639608,7,~100% (tautological),False,,
,Flower Link,Prospect,Wholesaler,Unknown,Activate,5600000.0,Medido,0,0,,False,,
194206,H&F Greens Inc (Mariposa Growers),Client,Importer,Core+,Growth Engine,5541398,Medido,5541398,7,~100% (tautological),False,,
830406,Avon Valley Floral,Pre-live,Wholesaler,Core+,Growth Engine,5500000.0,ORA,0,0,,False,,
,"A & M Flower Growers, Inc.",Prospect,Grower,Unknown,Activate,5500000.0,Medido,0,0,,False,,
667626,Green Bouquet LLC,Client,Importer,Core+,Growth Engine,5424123,Medido,5424123,7,~100% (tautological),False,,
592345,Orlando Wholesale Florist,Client,Wholesaler,Core+,Growth Engine,5186669,Medido,5186669,7,~100% (tautological),False,,
735220,WE GOT FLOWERS,Client,Wholesaler,Core+,Growth Engine,5174786.38,Medido,5182411,7,~100% (tautological),False,,
,Maximum Nursery,Prospect,Grower,Unknown,Activate,5100000.0,Medido,0,0,,False,,
664719,ALLIANCE FLORAL COMPANY. 6270,Client,Wholesaler,eSuite,Growth Engine,5000000,Estimado,139457,7,2.8,True,Estimado >20x reality,
650721,"Alders Wholesale Florist, Inc.",Client,Wholesaler,eSuite,Growth Engine,5000000.0,Estimado,204829,7,4.1,True,Estimado >20x reality,
477128,Arizona Floral Exchange,Client,Wholesaler,K2K,Activate,5000000.0,Estimado,79562,6,1.6,True,Estimado >20x reality,
652251,"BOTANICA WHOLESALE FLORIST DALLAS (IRVING), LLC",Client,Wholesaler,K2K,Activate,5000000.0,Estimado,695655,7,13.9,False,,
664988,CALI WHOLESALE.-CA,Prospect,Wholesaler,Procurement,Activate,5000000,Estimado,0,0,,False,,
591877,Claymore C. Sieck Wholesale Florist,Client,Wholesaler,K2K,Activate,5000000.0,Estimado,11630,1,0.2,False,,
664019,FLOWERS OF NASHVILLE,Pre-live,Wholesaler,Core+,Growth Engine,5000000,Estimado,0,0,,False,,
681739,Fleurametz Chicago,Client,Wholesaler,K2K,Activate,5000000.0,Estimado,146954,7,2.9,True,Estimado >20x reality,
664314,Florabundance.,Client,Wholesaler,eSuite,Growth Engine,5000000,Estimado,337130,7,6.7,False,,
699974,Florisert,Prospect,Grower,Core+,Growth Engine,5000000,Estimado,0,0,,False,,
578194,Flowers Direct Inc,Client,Wholesaler,K2K,Activate,5000000.0,Estimado,387753,7,7.8,False,,
713789,HALL´S - BIRMINGHAM,Client,Wholesaler,eSuite,Growth Engine,5000000,Estimado,251922,7,5.0,False,,
729666,NORTHWEST WHOLESALE FLORIST,Pre-live,Wholesaler,Core+,Growth Engine,5000000,Estimado,0,0,,False,,
828336,SPRINGFIELD FLORIST SUPPLY INC,Pre-live,Wholesaler,Unknown,Activate,5000000.0,ORA,3120,1,0.1,False,,
664201,San Antonio Flower CO,Client,Wholesaler,K2K,Activate,5000000,Estimado,0,0,,False,,
585613,"Sieck Floral Distributing, Inc",Client,Wholesaler,K2K,Activate,5000000.0,Estimado,363298,7,7.3,False,,
600910,Sieck Wright Floral Products,Client,Wholesaler,K2K,Activate,5000000.0,Estimado,86883,7,1.7,True,Estimado >20x reality,
653842,TFS- Chattanooga,Client,Wholesaler,K2K,Activate,5000000.0,Estimado,613192,7,12.3,False,,
670701,Webb’s Wholesale Florist,Client,Wholesaler,eSuite,Growth Engine,5000000,Estimado,94165,7,1.9,True,Estimado >20x reality,
182870,Cananvalle USA LLC,Client,Importer,Core+,Growth Engine,4903983.32,Medido,4400965,7,~100% (tautological),False,,
598944,Las Vegas Floral Wholesale,Prospect,Wholesaler,K2K,Activate,4900000.0,Piso (solo K2K),0,0,,False,,
,Berkeley Florist Supply Co,Prospect,Wholesaler,Unknown,Activate,4800000.0,Medido,0,0,,False,,
507518,Anton Spaargaren B.V.,Client,Importer,Core+,Growth Engine,4770195,Medido,4770195,7,~100% (tautological),False,,
,L&G Wholesale,Prospect,Wholesaler,Unknown,Activate,4600000.0,Medido,0,0,,False,,
321023,Bill Doran Company (2),Client,Wholesaler,Core+,Growth Engine,4478787.4,Medido,4579622,7,~100% (tautological),False,,
17503,SOS Floral,Client,Wholesaler,Core+,Growth Engine,4378745,Medido,4378745,7,~100% (tautological),False,,
742939,Stemline Wholesale,Client,Wholesaler,Core+,Growth Engine,4314652,Medido,4314652,7,~100% (tautological),False,,
453769,Continental Floral FL LLC,Client,Importer,Core+,Growth Engine,4311612.13,Medido,3809342,6,~100% (tautological),False,,
144192,INTERNATIONAL TRADING AND SERVICES INC,Client,Importer,Core+,Growth Engine,4140171,Medido,4140171,7,~100% (tautological),False,,
594981,Evergreen Plant Company,Client,Importer,Core+,Growth Engine,4105065,Medido,4105065,7,~100% (tautological),False,,
54343,**Wafex USA,Client,Importer,Core+,Growth Engine,4039808.6,Medido,3526073,7,~100% (tautological),False,,
654374,BOTANICA WHSLE FLORIST-HOUSTON,Client,Wholesaler,K2K,Activate,4000000.0,Estimado,200610,7,5.0,False,,
635064,Ensign Wholesale Flower Market,Client,Wholesaler,K2K,Activate,4000000.0,Estimado,88160,7,2.2,True,Estimado >20x reality,
612783,Faguaflowers Intl LLC,Client,Importer,K2K,Activate,4000000.0,Estimado,42625,7,1.1,True,Estimado >20x reality,
676090,FleuraMetz Montreal Ltd,Client,Wholesaler,K2K,Activate,4000000.0,Estimado,62632,7,1.6,True,Estimado >20x reality,
37745,Floral Cooperative Purchasing Group LLC,Prospect,Wholesaler,Core+,Growth Engine,4000000,Estimado,21773,7,0.5,True,Estimado >20x reality,
321907,Greens and Flowers Connection,Client,Importer,Core+,Growth Engine,4000000,Estimado,2501529,7,62.5,False,,
152602,Lubbock Wholesale,Client,Wholesaler,K2K,Activate,4000000.0,Estimado,63348,7,1.6,True,Estimado >20x reality,
588171,Magnolia Wholesale Florist Inc,Client,Wholesaler,K2K,Activate,4000000.0,Estimado,164410,7,4.1,True,Estimado >20x reality,
592615,NYC FLORAL GREENS,Prospect,Wholesaler,Core+,Growth Engine,4000000,Estimado,2356236,5,58.9,False,Auto-promoted from Prospect (Deactivated),
632322,Northline Wholesale Flowers,Client,Wholesaler,K2K,Activate,4000000.0,Estimado,39893,7,1.0,True,Estimado >20x reality,
669090,The Oklahoma Flower Market,Client,Wholesaler,K2K,Activate,4000000.0,Estimado,63033,7,1.6,True,Estimado >20x reality,
704636,UNITED WHOLESALE- FFL  ENTERPRISES ,Client,Wholesaler,eSuite,Growth Engine,4000000,Estimado,121383,7,3.0,True,Estimado >20x reality,
740734,Valley Floral Co. of OKC - Oklahoma,Client,Wholesaler,eSuite,Growth Engine,4000000,Estimado,90959,4,2.3,True,Estimado >20x reality,
740696,Valley Floral Co. of Oklahoma LLC - Tulsa,Client,Wholesaler,eSuite,Growth Engine,4000000,Estimado,286539,7,7.2,False,,
726631,"Wolfe Wholesale Florist, Inc. Waco",Client,Wholesaler,eSuite,Growth Engine,4000000,Estimado,248953,7,6.2,False,,
664820,Younger & Son Inc,Prospect,Wholesaler,Unknown,Activate,4000000.0,ORA,47721,6,1.2,False,,
257477,Mayta International LLC / Native Blooms,Client,Importer,Core+,Growth Engine,3978348,Medido,3978348,7,~100% (tautological),False,,
467802,Protean Farms US,Client,Importer,Core+,Growth Engine,3814045,Medido,3814045,7,~100% (tautological),False,,
,L.F.Schlegel & Son Greenhouse,Prospect,Wholesaler,Unknown,Activate,3800000.0,Medido,0,0,,False,,
153536,Fair Trade Floral Inc.,Client,Importer,Core+,Growth Engine,3689542.99,Medido,3772866,7,~100% (tautological),False,,
199908,Bloomistics,Client,Importer,Core+,Growth Engine,3648775,Medido,3648775,7,~100% (tautological),False,,
,Myriad Flowers International,Prospect,Wholesaler,Unknown,Activate,3600000.0,Medido,0,0,,False,,
561453,A Florist First,Client,Wholesaler,K2K,Activate,3500000.0,Estimado,568715,7,16.2,False,,
643672,Allied Cut Flower,Prospect,Wholesaler,K2K,Activate,3500000,Estimado,12189,3,0.3,False,,
507479,Ashland Addison,Client,Wholesaler,K2K,Activate,3500000.0,Estimado,100819,7,2.9,True,Estimado >20x reality,
664623,"Esprit Salt Lake, Inc",Prospect,Wholesaler,Unknown,Activate,3500000,Estimado,0,0,,False,,
642311,White Rose Flowers & Supplies Inc.,Client,Wholesaler,Core+,Growth Engine,3467749,Medido,3467749,7,~100% (tautological),False,,
,Topstar Floral Inc.,Prospect,Wholesaler,Unknown,Activate,3400000.0,Medido,0,0,,False,,
654944,Apex Floral Distributors Mississauga,Client,Wholesaler,Core+,Growth Engine,3397909.73,Medido,3348790,7,~100% (tautological),False,,
591665,"Natural Flowers, Inc",Client,Importer,Core+,Growth Engine,3379310.13,Medido,3436169,7,~100% (tautological),False,,
193828,Arizona Family Florist,Client,Wholesaler,Core+,Growth Engine,3283392,Medido,3283392,7,~100% (tautological),False,,
468041,U.S. Greens Corp,Client,Importer,eSuite,Growth Engine,3261269,Medido,3261269,7,~100% (tautological),False,Tier inferred from sell channel (not from system_type),
624737,AMORES FLORES INC,Client,Wholesaler,Core+,Growth Engine,3221762,Medido,3221762,7,~100% (tautological),False,,
400914,SKY FLOWERS S.A.S,Client,Grower,Core+,Growth Engine,3120632.79,Medido,2755697,7,~100% (tautological),False,,
189685,Farm Fresh Exports INC,Client,Importer,Core+,Growth Engine,3119332.56,Medido,2809335,7,~100% (tautological),False,,
,Eufloria Flowers,Prospect,Wholesaler,Unknown,Activate,3100000.0,Medido,0,0,,False,,
1614,-Groflowers,Client,Importer,Core+,Growth Engine,3092277,Medido,3092277,7,~100% (tautological),False,,
743648,Zeidler Floral,Client,Wholesaler,Core+,Growth Engine,3088627.0,Medido,2698048,5,~100% (tautological),False,,
665296,AD TRADING CORP.DBA AD FLORAL TRADI,Prospect,Wholesaler,Unknown,Activate,3000000,Estimado,0,0,,False,,
393475,American Agroproducts,Client,Wholesaler,K2K,Activate,3000000.0,Estimado,2304,1,0.1,False,,
806417,Hyperactive Farms Inc.,Pre-live,Importer,Core+,Growth Engine,3000000,Estimado,4530,5,0.2,False,,
651200,Jacksonville Flower Market,Client,Wholesaler,eSuite,Growth Engine,3000000,Estimado,562165,7,18.7,False,,
