Company,Company ID,Business Type,Christine GMV,Christine Source,External Est Low,External Est Mid,External Est High,Confidence,Methods,Notes
Hyperactive Farms Inc.,806417,Importer,,Sin dato,1000000,3000000,5000000,Low,business model: specialty small-batch importer,"Online-first specialty importer. Small-batch, novelty varieties. Flies flowers to nearest airport or ships to FL. Model suggests small/medium operation. No employee count or revenue found."
JOHNSENS WHOLESALE FLORIST,652199,Wholesaler,,Sin dato,4000000,6000000,9000000,Medium,headcount: 11-50 emp x $375K + location: 1 hub Beaumont TX x $4M,Family-owned. LinkedIn: 11-50 employees. Single location Beaumont TX (secondary market). 25 emp x $375K = $9.4M. Beaumont is smaller Texas market - downward adjustment. FMCSA: has trucking registration = delivery fleet.
Jacksonville Flower Market,651200,Wholesaler,,Sin dato,1500000,3000000,5000000,Low,location: 1 hub Jacksonville FL x $4M + 2000 sqft walk-in cooler,"Est 2018, only FL wholesale open to public. 2000 sqft walk-in cooler. Sells by stem and bunch. Also does weddings/events/classes. Relatively new, smaller operation. Jacksonville secondary market. Public access model = lower B2B GMV."
KD & Company,469713,Wholesaler,,not in Christine cascade,5000000,8000000,12000000,Low,location: 2 remaining hubs (Louisville KY + Wheeling IL) x $4M each,Est 2008. Richmond VA and Raleigh NC locations acquired by DVFG Oct 2025. Now 2 remaining: Louisville KY + Wheeling IL. Serves retail florists + event designers. No employee count. Midsize regional.
KRUEGER WHOLESALE PROMO,731091,Wholesaler,,not in Christine cascade,15000000,22000000,30000000,High,headcount: 60 emp x $375K + facility: 120K sqft + service: 7-state Midwest,One of largest floral distributors in Midwest. Est 1963. 120K sqft corporate HQ + distribution center. Own logistics (KW Transit). Serves 7 states. 60-62 employees. 60 x $375K = $22.5M. Scale of facility + multistate reach supports upper range.
LD Trading/ Lawrence Developments Inc.,652551,Wholesaler,,Sin dato,4000000,7000000,10000000,Low,facility: 18K sqft Northbrook IL + location: 1 hub Chicago metro x $5M,"30+ years in industry. 18,000 sqft state-of-art facility, Northbrook IL. Direct from farms worldwide. Chicago major metro. Supply + design components. No employee count."
LIHML INC Fayetteville,654758,Wholesaler,,Sin dato,800000,1500000,2500000,Medium,headcount: 4 emp x $375K + aggregator: $258K x4,"LIHMIL Wholesale Flowers, est 2010, 820 Tom Starling Rd Fayetteville NC. 4 employees, $258K aggregator rev (floor). 4 x $375K = $1.5M. Fayetteville small market. Very small operation."
Lone Star Flower Market,476379,Wholesaler,,not in Christine cascade,12000000,20000000,30000000,High,"location: 3 hubs (Houston, Dallas, Tyler) x $5M each + headcount: 51-200 emp","3 confirmed locations (Houston, Dallas, Tyler). Houston + Dallas = major metros. ZoomInfo: 51-200 employees, revenue $5-20M. Lone Star Bloom related: $9.6M. Est 2020 but rapid growth. 3 x $6M (major metro average) = $18M. 100 emp x $375K = $37.5M high end."
"Lucas and Greer, Inc. dba L & G Wholesale Florist",727605,Wholesaler,,Sin dato,15000000,25000000,40000000,Medium,market: 200+ shops Houston/Galveston + headcount: 20-49 emp x $375K + aggregator: $50-100M,Est 1987. Largest wholesaler in Houston/Galveston area. 200+ floral shops served. Manta aggregator says $50-100M rev - this is likely VERY overstated. 35 emp x $375K = $13M. Houston major metro. Adjust to $25M mid given market dominance.
M&M CUT FLORA,651574,Wholesaler,,Sin dato,4000000,7000000,10000000,Medium,location: 1 hub Denver CO x $5M + acquisition: Mayesh Jun 2026,"Acquired by Mayesh effective June 12, 2026. Previously: Denver-based wholesale, Rocky Mountain region. M-F delivery to Denver metro + Front Range. Now operates as Mayesh Denver branch. Denver = major metro. Pre-acquisition GMV estimate."
MAGNOLIA HOLDINGS 301 LLC ABSOLUTELY BEAUTIFUL FLOWERS,664494,Wholesaler,,Sin dato,,,,No data,,"No match found for this entity. 'Magnolia Holdings 301 LLC' + 'Absolutely Beautiful Flowers' combined name suggests DBA. No web presence found. Needs Koronet internal data (address, phone) for identification."
MAHONEYS ROCKY LEDGE FARM &,670554,Wholesaler,,not in Christine cascade,10000000,20000000,35000000,Low,location: 7 Massachusetts garden centers,"Mahoney's operates 7 Massachusetts garden centers (primarily retail/garden center, not traditional wholesale florist). Farm stand + flower shop + nursery. FTD/Teleflora delivery. If wholesale component is portion of 7 locations, GMV much lower. WARNING: May be primarily retail/garden center, not wholesale florist. Classification needs verification."
"MRS. BLOOM'S DIRECT, INC.",731558,Wholesaler,,Sin dato,3000000,6000000,10000000,Low,headcount: 7-11 emp x $700K (importer rate) + market: NYC area importer,"Fresh flower importer, est 2003. NYC area (Elmsford NY). Offices in NYC, Ecuador, Bangkok. Direct from global farms. ZoomInfo: 7 employees. NYC metro = major market. Importer rate $700K-1.2M: 7 emp x $1M = $7M. 11-50 emp range from other source adds uncertainty."
McCarthy Wholesale,701220,Wholesaler,,not in Christine cascade,10000000,18000000,30000000,Medium,location: 25+ locations + headcount: 49-82 emp x $375K,Family Flowers / McCarthy Group Florists. 25-30 locations across 10 states. Family owned since 1952. GrowJo: $5.7-7.5M rev (aggregator - treat as floor). 60 emp x $375K = $22.5M. But McCarthy appears retail-oriented despite wholesale classification. Mix of retail/wholesale. Significant scale.
Metropolitan Wholesale/Cityside Flowers,733807,Wholesaler,,Sin dato,6000000,10000000,15000000,Medium,location: 2 hubs NJ x $5M each + facility: 3000 sqft cooler + 6000 sqft plants,"Est 1996. 2 NJ locations (Saddle Brook + River Edge). Bergen County NJ = NYC metro adjacent. 3000+ sqft cooler, 6000 sqft plant showroom. Serves florists, garden centers, landscapers, interior designers. NYC metro = major market. No employee count."
"Mideast Flowers Distributors, Inc.",665027,Wholesaler,,not in Christine cascade,1000000,2000000,3500000,Medium,headcount: 6 emp x $375K + aggregator: $1.2M x3,Washington NC (small market). 6 employees. D&B: $1.2M rev. Buzzfile confirms small scale. 6 x $375K = $2.25M. Rural Eastern NC market. Small operation.
"Mikes Finest Wholesale Flowers, Inc.",664255,Wholesaler,,not in Christine cascade,5000000,8000000,12000000,Medium,headcount: 20-26 emp x $375K + aggregator: $3.2-9M range,Atlanta premier wholesale. Est 1996. Norcross/Atlanta. 20-26 employees. ZoomInfo: $9M high. Buzzfile: $3.2M low (floor). 23 x $375K = $8.6M. Atlanta = major metro. Mid $8M supported by both methods.
NORTHWEST WHOLESALE FLORIST,729666,Wholesaler,,Sin dato,3000000,5000000,8000000,Medium,headcount: 13 emp x $375K + location: Seattle hub x $5M,"Seattle-based wholesale. 13 employees (ZoomInfo 2025). Bulk flowers, plants, supplies to local businesses only (wholesale-only). Seattle = major metro. 13 x $375K = $4.9M. Single location."
NYC FLORAL GREENS,592615,Wholesaler,,not in Christine cascade,2000000,4000000,7000000,Low,market: Brooklyn + Miami presence,Wholesale operation with presence in Brooklyn NY and Miami FL. 65+ rose varieties. Pay-on-delivery model. NYC market is major but limited signals on scale. No employee count.
Ontario Flower Growers Cooperative Ltd.,676861,Wholesaler,,not in Christine cascade,30000000,50000000,80000000,Medium,"market: 150+ growers, clock auction + marketplace + location: Mississauga ON",Est 1972. Cooperative with 150+ growers. Central facility Mississauga. Clock auction + online sales + OFG Marketplace. Largest Ontario flower cooperative. Toronto area = major Canadian market. Cooperative throughput model (multiple growers' product flowing through) = high GMV per facility.
"POPPIES DESIGN STUDIO, LLC",665443,Retailer,,Sin dato,200000,500000,1000000,Low,,Retail florist / design studio. Procurement tier. Limited signals. Typical single-shop retail range.
POSIES TRUCK,664944,Retailer,,Sin dato,100000,300000,500000,Low,,Mobile retail florist (truck). Very small operation by nature of business model. Low GMV.
POTOMAC WHSLE,654661,Wholesaler,,not in Christine cascade,5000000,8000000,12000000,High,headcount: 35 emp x $375K + aggregator: $4M,Est 1998. DC/Mid-Atlantic market. 35 employees (ZoomInfo 2026). Revenue ~$4M aggregator. 35 x $375K = $13.1M. Aggregator $4M is floor. DC metro = major market. Exclusive distributor for Ecuadorian rose farms + imports from 10 countries.
"Palm Beach Whsle Flowers, Inc.",675363,Wholesaler,,Sin dato,500000,1500000,3000000,Medium,headcount: 4-19 emp x $375K + aggregator: $110K,"Est 2012. West Palm Beach FL. Aggregator $110K = extreme floor. Online + nationwide shipping model. ZoomInfo: 19 employees (high signal), Manta: 5-9. 10 emp x $375K = $3.75M. Online model may cap local B2B. Small operation."
Penn Valley Flora,739329,Wholesaler,,Sin dato,,,,No data,,"No public web presence found under 'Penn Valley Flora' as wholesale florist. Could be very new, DBA, or local-only operation. Needs Koronet internal address data."
Petals Direct,620160,Wholesaler,,not in Christine cascade,,,,No data,"LinkedIn: exists, minimal data","LinkedIn page exists for Petals Direct but no public company data (employees, revenue, location) found. No website discovered. Needs internal Koronet data or direct LinkedIn lookup."
Promoflor SRL,734521,Wholesaler,,not in Christine cascade,3000000,6000000,10000000,Low,import/export: Italy to EU + Asia markets,"Italian grower/exporter. Est 1998. Sanremo = Italy's flower capital. Exports eucalyptus, ruscus, Mediterranean species, ranunculus, anemones, mimosa, genisteae. Markets: EU, Russia, Norway, Japan, S Korea, China. Creditsafe EU registered. Likely Italian SME exporter."
"R&W WHOLESALE, INC.",650536,Wholesaler,,Sin dato,500000,1000000,2000000,Low,aggregator: $191K x4 + headcount: 1 emp,"Very small operation. D&B: $191K rev, 1 employee. Est 2000 Birmingham AL. This is an extreme floor for any wholesale operation. May be home-based or part-time. Very small GMV."
Royal Flower Import Group Inc.,327132,Wholesaler,,not in Christine cascade,3000000,6000000,10000000,Low,market: Toronto wholesale since 1991,Est 1991. Toronto-area wholesale distributor of premium cut flowers. Specialty: roses. Serves finest flower shops and designers in Toronto. Toronto = major Canadian market. No employee count or revenue data found.
"Royal Flowers Inc, International",33986,Importer,,not in Christine cascade,15000000,30000000,50000000,Low,farm: 120 hectares Ecuador,Royal Flowers Group: 120+ hectares (296 acres) Ecuador greenhouses at high altitude. Global distributor of Ecuadorian roses. Large farm scale. No US staff headcount. Revenue estimate based on typical large Ecuador grower-exporter scale.
"STRANGE'S FLORIST, INC.",670668,Wholesaler,,not in Christine cascade,10000000,18000000,28000000,Medium,headcount: 33-100 emp x $375K + revenue: $9.6-21.3M aggregator,"One of Virginia's largest greenhouse growers + one of largest retail garden centers in US. 2 locations (West Broad + Mechanicsville). Zippia: $21.3M rev, 33 emp. GrowJo: $9.6M. 66 emp x $375K = $24.8M. Primarily retail/garden center with wholesale component. May not be full wholesale GMV."
San Antonio Flower CO,664201,Wholesaler,,Sin dato,3000000,5000000,8000000,Low,location: 1 hub San Antonio x $4M + history: est 1999,"Est 1999, European-style flower market. Self-service model. Wholesale pricing to licensed businesses. 60+ years combined experience in founders. San Antonio = major metro. No employee count found."
Sofia Flowers USA LLC,38477,Importer,,not in Christine cascade,10000000,20000000,35000000,Medium,import records: 211 bills of lading + market: supermarket + e-commerce distributor,Est 2010. Miami HQ (2200 NW 70th Ave). Multiple DCs nationally with direct farm flights. Targets supermarket chains + e-commerce retailers. 211 bills of lading Dec 2020-Apr 2026. B2B importer/distributor model. Significant scale for supermarket supply.
Specialty Cut Flowers,665425,Grower,,not in Christine cascade,,,,No data,,"Generic name - no specific company identified. Multiple US growers use this descriptor. Needs Koronet internal data (address, contact) to identify correct entity."
Staalduinen Floral-LTF1118,655382,Wholesaler,,Sin dato,7000000,10000000,15000000,High,headcount: 31 emp x $375K + aggregator: $10M,50+ year Canadian wholesaler. 31 employees (ZoomInfo). $10M revenue (ZoomInfo 2026). 31 x $375K = $11.6M. Serves most of Ontario + Eastern Canada. 26K sqft greenhouse. Two consistent signals converge.
Star Roses,734327,Importer,,not in Christine cascade,,,,No data,,Website staroses.com found (QA dept mentioned). Not to be confused with Star Roses and Plants/Conard-Pyle (plant nursery). No employee or revenue data for this specific entity. Needs Koronet address data.
TFS Bristol,664054,Wholesaler,,Sin dato,8000000,15000000,22000000,Low,"location: 3 TFS locations (Bristol TN, Knoxville TN, Roanoke VA) + history: est 1953","Tennessee Florist Supply, est 1953. 3 locations: Bristol TN, Knoxville TN, Roanoke VA. Serves East TN, SE KY, NC, SC, WV, VA. Daily local delivery. 'Americana Inc.' parent company. Secondary/tertiary markets. 3 x $5M = $15M."
TWI SON HARRISON WHOLESALE FLORAL,731457,Wholesaler,,not in Christine cascade,1000000,2500000,4000000,Medium,headcount: 5-9 emp x $375K + revenue: $1-5M aggregator,"Harrison Wholesale Floral, 610 N Hancock Ave, Odessa TX. Est 1977, Ron Harrison president. D&B: $1-5M rev. 5-9 employees. 7 x $375K = $2.6M. Odessa = small West Texas market. Small operation."
"The Flowerman, Inc.",665232,Retailer,,not in Christine cascade,500000,1000000,2000000,Low,,Retail florist. Limited signals. Typical retail range estimate only.
Tradewinds / Pristine Wholesale Floral,665261,Wholesaler,,Sin dato,5000000,10000000,15000000,Low,"PPP loan: 75 jobs retained, $550K loan","Field of Flowers Inc DBA Tradewinds Wholesale Florist. PPP 2020: 75 jobs retained, $550K loan. Davie FL (Broward County). 75 employees x $375K = $28M high - but PPP may overclaim. Delivery twice daily Dade, Broward, S Palm Beach. South FL major market. 'Pristine Wholesale Floral' may be related or different entity."
Tradewinds/ KING FLORAL SUPPLY,664648,Wholesaler,,Sin dato,5000000,10000000,15000000,Low,history: King's since 1948,"King's Wholesale Florists: since 1948, large catalog of fresh flowers + greens + supplies. Relationship with Tradewinds unclear - may be same entity or related. No specific location or employee data found. Needs clarification on company relationship."
UNITED WHOLESALE- FFL  ENTERPRISES,704636,Wholesaler,,Sin dato,2000000,4000000,6000000,High,headcount: 14 emp x $375K + aggregator: $3M,"FFL Enterprises Inc DBA United Wholesale Flowers. Est 2009. San Jose CA (2350 Harris Way). 14 employees, $3M revenue (ZoomInfo). Same-day delivery for orders >$120 in Greater Bay Area + Central Valley. 14 x $375K = $5.25M. Aggregator $3M = floor. Bay Area = major metro."
VELDKAMP'S FLOWERS,670675,Grower,,Sin dato,5000000,10000000,20000000,Low,location: Lakewood CO garden center + farm operations,"3rd generation family, est 1959. Lakewood CO. Mix of: interior/exterior landscaping, garden center, wholesale, greenhouse production. Colorado-grown + sourced from CA/Holland/S. America. Denver market. Multi-business entity - wholesale portion of GMV is subset."
Valle Verde LLC,635167,Importer,,not in Christine cascade,,,,No data,,No public data found for 'Valle Verde LLC' as flower importer. Name is very common. Needs Koronet internal address/contact data to identify correct entity and search import records.
Valley Floral Co. - Wichita,740646,Wholesaler,,Sin dato,8000000,14000000,20000000,Medium,"location: 3 locations (Wichita, OKC, Tulsa) x $4M each + facility: 50K sqft Wichita","Est 1941. 3 locations: Wichita KS corporate, OKC OK, Tulsa OK. 50K sqft warehouse + greenhouse + distribution center. Zippia: 50 employees, $3M (floor). OKC BBB: 26 years in business. 50 x $375K = $18.75M. 3 x $5M = $15M. Secondary markets but strong regional coverage."
Valley Floral Co. of OKC - Oklahoma,740734,Wholesaler,,Sin dato,2000000,4000000,6000000,Low,location: OKC branch (part of Valley Floral 3-location network),"OKC branch of Valley Floral Co. (same corporate entity as Wichita + Tulsa). 301 N Rhode Island Ave Suite 108, Oklahoma City OK 73117. GMV estimated as portion of total Valley Floral operation. OKC secondary market."
Valley Floral Co. of Oklahoma LLC - Tulsa,740696,Wholesaler,,Sin dato,2000000,4000000,6000000,Low,location: Tulsa branch (part of Valley Floral 3-location network),Tulsa branch of Valley Floral Co. (same corporate entity). 7350 E 38th St Tulsa OK. GMV estimated as portion of total Valley Floral operation. Tulsa secondary market.
Vimass Flora S.L.,755509,Importer,,Sin dato,5000000,10000000,18000000,High,"headcount: 10-49 emp + revenue: 2-10M EUR + import records: 768 shipments, 197 suppliers","Spanish importer/wholesaler. 768 import shipments from 197 suppliers (diverse sourcing from Colombia + Ecuador). Infoempresa: 10-49 employees, 2-10M EUR revenue. 3 consistent signals. Strong data for Spanish entity."
Vivofloral,534902,Grower,,not in Christine cascade,,,,No data,,"No public web presence found under 'Vivofloral'. Likely Colombian or Ecuadorian grower given business type. Needs Koronet internal data (country, product) to identify correct entity."
"WB FLORAL GROUP, LLC.-MD",650815,Retailer,,Sin dato,1000000,2500000,5000000,Low,"market: Baltimore MD, since 2020","Est 2020. Baltimore MD. Dutch Direct + Miami Market + Farm Direct sourcing. Despite 'Retailer' classification, appears to be wholesale/distributor model. Limited public data on scale."
WESTWOOD FLORIST,651344,Retailer,,not in Christine cascade,300000,600000,1000000,Low,,Retail florist. No public data found beyond name. Typical single-shop retail range.
Webb's Wholesale Florist,670701,Wholesaler,,Sin dato,3000000,5000000,8000000,Medium,headcount: 3-11 emp x $375K + aggregator: $5.3M,"76 years in business. Serves WV, VA, OH, KY. Crab Orchard WV (rural). Buzzfile: $5.3M rev. 7 emp x $375K = $2.6M. Aggregator $5.3M may be more reliable given age. Regional wholesaler serving multi-state."
